Predict D1 ohlC  18.08.2023
['GBPJPY_D1.txt', 1102]
['EURAUD_D1.txt', 676]
['EURNZD_D1.txt', 344]
['EURJPY_D1.txt', 241]
['NZDJPY_D1.txt', 185]
 ['NZDUSD_D1.txt', 179]
['AUDJPY_D1.txt', 160]
['CHFJPY_D1.txt', 157]
['GBPNZD_D1.txt', 154]
['AUDUSD_D1.txt', 146]
['GBPUSD_D1.txt', 123]
['NZDCAD_D1.txt', 123]
['AUDNZD_D1.txt', 109]
['USDJPY_D1.txt', 25]
 ['USDCHF_D1.txt', 12]
['EURCHF_D1.txt', -6]
['GBPCHF_D1.txt', -17]
['EURCAD_D1.txt', -72]
['EURUSD_D1.txt', -80]
['AUDCAD_D1.txt', -152]
['GBPCAD_D1.txt', -164]
['CADJPY_D1.txt', -181]
['CADCHF_D1.txt', -196]
['USDCAD_D1.txt', -204]
['AUDCHF_D1.txt', -210]
 ['NZDCHF_D1.txt', -214]
['EURGBP_D1.txt', -223]
['GBPAUD_D1.txt', -485]
